CTUID,Total,Immigrants,Non-Immigrants
5370000,734885,177070,550510
5370001.01,2190,600,1580
5370001.02,5225,1495,3700
5370001.04,6175,2035,4085
5370001.05,5160,1970,3155
5370001.06,5045,1570,3465
5370001.07,3560,1030,2465
5370001.08,6530,2135,4380
5370001.09,4635,1565,3045
5370002.01,5080,1485,3550
5370002.03,2925,935,1960
5370002.04,4775,1765,2955
5370002.05,7435,2470,4905
5370002.06,3450,1180,2240
5370003.01,4840,1400,3355
5370003.02,3200,935,2245
5370003.03,3200,1190,2000
5370003.04,5865,1725,3975
5370004.01,3345,1010,2300
5370004.02,4080,1175,2890
5370005.01,5935,1650,4245
5370005.02,3830,835,2990
5370005.03,3825,1195,2620
5370006,4895,910,3970
5370007,3550,575,2975
5370008,2095,470,1625
5370009,3720,1060,2655
5370010,3005,650,2350
5370011,2185,520,1640
5370012,1500,340,930
5370013,2800,575,2215
5370014,2645,605,2020
5370015,1665,365,1295
5370016,500,105,400
5370017,3475,605,2835
5370018,,,
5370019,4015,805,3090
5370020,3840,580,3225
5370021,4525,905,3580
5370022,4715,780,3860
5370023,2235,380,1855
5370024,2480,430,2040
5370025,2875,395,2465
5370026.01,3360,1135,2205
5370026.02,1725,650,1055
5370026.03,2040,840,1195
5370026.04,1675,460,1205
5370026.05,4040,1220,2775
5370026.06,5430,1970,3410
5370027,1065,250,815
5370028,2645,490,2145
5370029,4350,665,3645
5370030,3975,470,3490
5370031,2105,230,1870
5370032,3085,490,2560
5370033,2840,500,2300
5370034,5085,1820,2965
5370035,3360,805,2520
5370036,2545,825,1420
5370037,2540,925,1430
5370038,3935,1100,2720
5370039,5155,1200,3710
5370040,1905,290,1595
5370041,1950,345,1560
5370042,2595,390,2185
5370043,3535,1115,2050
5370044,4180,1230,2750
5370045,2980,720,2035
5370046,3100,875,1990
5370047,3100,880,2175
5370048,1420,560,795
5370049,2075,700,1260
5370050,3670,985,2645
5370051,4440,1195,3220
5370052,3385,565,2790
5370053,3085,425,2655
5370054,2540,345,2200
5370055,2995,395,2590
5370056,3235,505,2710
5370057,2885,330,2545
5370058,2375,345,2035
5370059,3045,465,2575
5370060,2720,535,2175
5370061,2735,745,1975
5370062,3100,940,2150
5370063,2430,930,1410
5370064,1630,575,1030
5370065,2455,1120,1250
5370066,4970,1395,3560
5370067,1700,185,1515
5370068,855,50,805
5370069,965,65,885
5370070,2230,315,1910
5370071,6515,1395,5080
5370072.01,85,35,55
5370072.02,3970,1605,2325
5370072.03,6545,3030,3350
5370072.04,3445,1240,2180
5370073,1195,150,1045
5370080.01,2260,520,1735
5370080.03,6215,1785,4385
5370080.05,6990,1790,5170
5370080.06,4970,885,4080
5370080.07,3095,790,2275
5370081,2315,530,1765
5370082,3460,880,2575
5370083,2295,555,1690
5370084.01,2635,925,1680
5370084.02,2990,885,2065
5370084.03,2115,710,1405
5370084.04,1830,365,1465
5370084.05,2870,1105,1760
5370085.01,4225,1430,2795
5370085.02,6530,2130,4370
5370085.03,3920,1040,2835
5370086,9715,2305,7380
5370100.01,9630,2425,7140
5370100.02,7890,1360,6510
5370101.01,7805,1620,6160
5370101.02,4650,720,3900
5370120.02,2170,345,1810
5370120.03,6835,2300,4350
5370120.04,6060,2475,3370
5370121,1810,205,1605
5370122.01,5385,975,4365
5370122.02,6545,1260,5260
5370123,7505,1465,6025
5370124,3645,860,2770
5370130.02,3815,685,3120
5370130.03,3150,615,2515
5370131,4585,730,3810
5370132,2840,480,2350
5370133.01,3495,820,2640
5370133.02,5625,905,4695
5370140.02,8380,1490,6865
5370140.03,7450,1085,6340
5370140.04,3740,525,3195
5370141,4040,730,3300
5370142.01,3805,420,3380
5370142.02,3800,545,3245
5370143,3860,375,3485
5370144.01,5185,635,4515
5370144.02,1780,270,1505
5370200,2640,585,2055
5370201,3410,630,2780
5370202,6020,1315,4670
5370203,2530,540,1970
5370204,5190,1220,3920
5370205.01,3285,910,2365
5370205.02,5040,1520,3475
5370206,3645,905,2690
5370207.01,6520,1385,5130
5370207.02,6065,1150,4900
5370207.03,3805,890,2890
5370207.04,2550,560,1985
5370208,3075,435,2640
5370209,1545,295,1245
5370210,2380,430,1950
5370211,3030,710,2320
5370212,1635,250,1375
5370213,3635,715,2905
5370214,2665,515,2135
5370215,2650,585,2055
5370216,4145,700,3425
5370217.01,4980,1350,3600
5370217.02,3395,650,2710
5370218,6895,1580,5285
5370219,4550,895,3600
5370220,5585,1395,4160
5370221,3255,640,2590
5370222.01,,,
5370222.02,4260,985,3260
5370222.03,4405,1105,3300
5370223.01,2575,420,2150
5370223.02,4635,1045,3580
5370223.05,3185,680,2485
5370223.06,3910,720,3185
5370223.07,4270,860,3395
5370223.09,8765,2380,6300
5370223.1,4470,985,3465
5370223.12,7755,2435,5270
5370223.13,4640,1165,3425
5370223.14,4140,850,3260
5370223.15,2325,550,1770
5370223.16,2290,475,1805
5370224.01,10630,4360,6185
5370224.02,3740,695,3015
5370300,2025,330,1700
5370301,7625,1265,6335
5370302,5325,805,4510
5370303.01,3820,575,3215
5370303.02,8030,1255,6735
